Food,Count,Category
불닭볶음면,136,가공식품
짜파게티,54,가공식품
편의점 도시락,0,가공식품
쌀국수,94,기타
인도커리 + 난,80,기타
탄두리치킨,64,기타
타코,32,기타
팟타이,31,기타
케밥,27,기타
필라프,27,기타
똠양꿍,27,기타
분짜,0,기타
스테이크,554,양식
후라이드 치킨,453,양식
랍스터 버터구이,377,양식
햄버거,253,양식
피자,252,양식
바베큐 폭립,182,양식
크림소스 파스타,134,양식
치즈볼,112,양식
콘치즈,92,양식
푸딩,89,양식
함박스테이크,76,양식
로스트 비프,72,양식
연어스테이크,72,양식
로제파스타,71,양식
오일 파스타,67,양식
도너츠,62,양식
버팔로윙,58,양식
빠에야,58,양식
토스트,54,양식
토마토 스파게티,50,양식
샌드위치,50,양식
감바스,41,양식
핫도그,40,양식
계란식빵,36,양식
리조또,36,양식
치즈 퐁듀,36,양식
맥 앤 치즈,27,양식
비프스튜,22,양식
베이컨말이,14,양식
피쉬 앤 칩스,14,양식
매쉬드 포테이토,13,양식
푸아그라,13,양식
크림새우,9,양식
미트볼,9,양식
애플 파이,9,양식
크림스튜,9,양식
콜라,0,음료수
사이다,0,음료수
황타,0,음료수
초밥,763,일식
샤브샤브,227,일식
소고기타다끼,107,일식
돈까스,104,일식
우동,90,일식
타코야키,86,일식
우나기동 (장어덮밥),81,일식
치킨 데리야끼,77,일식
회덮밥,67,일식
간장계란밥,63,일식
참치 타다끼,63,일식
카레 돈까스 덮밥,59,일식
돈코츠라멘,59,일식
가츠동 (돈까스 덮밥),45,일식
덴뿌라동 (튀김 덮밥),35,일식
오므라이스,27,일식
오코노미야끼,22,일식
어묵,18,일식
오야코동 (닭고기 계란 덮밥),18,일식
미소라멘,18,일식
시오라멘,18,일식
스키야키,18,일식
난자완스,14,일식
규동 (소고기 덮밥),9,일식
낫토,9,일식
고로케,5,일식
야키소바,0,일식
오차즈케 (차를 넣은 밥),0,일식
탕수육,127,중식
양갈비,121,중식
짜장면,103,중식
깐쇼새우,102,중식
짬뽕,85,중식
훠궈,82,중식
깐풍기,50,중식
꿔바로우,44,중식
동파육,41,중식
베이징덕,40,중식
마파두부 덮밥,31,중식
류산슬,18,중식
양장피,14,중식
중식볶음밥,13,중식
유린기,5,중식
라조기,5,중식
탄탄멘,0,중식
기스면,0,중식
삼겹살,797,한식
곱창,526,한식
회,524,한식
육회,483,한식
오겹살,458,한식
킹크랩 찜,373,한식
돼지갈비,361,한식
양념치킨,361,한식
김치찌개,341,한식
떡순튀,331,한식
대게찜,314,한식
보쌈,310,한식
소갈비,310,한식
라면,301,한식
닭갈비,294,한식
감자탕,294,한식
간장게장,290,한식
부대찌개,287,한식
등갈비 김치찜,252,한식
막창,248,한식
소갈비찜,198,한식
뼈다귀 해장국,188,한식
항정살,184,한식
족발,182,한식
차돌박이,174,한식
닭발,174,한식
양념게장,170,한식
닭도리탕,168,한식
훈제삼겹살,166,한식
갈매기살,160,한식
닭강정,154,한식
장어 구이,147,한식
물냉면,146,한식
해물칼국수,143,한식
훈제연어 덮밥,142,한식
양꼬치,139,한식
돼지국밥,139,한식
닭꼬치,130,한식
설렁탕,130,한식
훈제치킨,129,한식
아구찜,124,한식
순대국밥,122,한식
찜닭,118,한식
김치볶음밥,115,한식
불족발,112,한식
대하소금구이,108,한식
산낙지,104,한식
조개구이,103,한식
된장찌개,100,한식
물회,95,한식
수육 국밥,91,한식
꽃게찜,91,한식
육개장,86,한식
해신탕,85,한식
제육볶음,82,한식
돼지갈비찜,82,한식
쭈꾸미 볶음,82,한식
갈비탕,81,한식
해물찜,80,한식
연어장,78,한식
비빔밥,77,한식
치킨마요덮밥,72,한식
김밥,72,한식
비빔면,72,한식
돼지껍데기,71,한식
가브리살,68,한식
우렁쌈밥,68,한식
막국수,67,한식
소고기무국,67,한식
순두부찌개,63,한식
잔치국수,63,한식
낙지볶음,63,한식
떡국,59,한식
소고기미역국,59,한식
누룽지 백숙,59,한식
불고기,58,한식
꼼장어,58,한식
찐만두,54,한식
콩나물 해장국,50,한식
비빔냉면,49,한식
소머리국밥,49,한식
삼계탕,46,한식
소떡소떡,45,한식
만두전골,45,한식
닭한마리,44,한식
보리굴비,44,한식
수제비,41,한식
메밀국수,41,한식
갈치구이,41,한식
계란찜,40,한식
열무 국수,40,한식
갈치조림,40,한식
콩국수,40,한식
떡갈비,36,한식
곰탕,36,한식
군만두,36,한식
물만두,36,한식
매운탕,36,한식
오징어 볶음,36,한식
해물누룽지탕,36,한식
샐러드,35,한식
문어 숙회,32,한식
청국장,32,한식
물떡,32,한식
시래기국,32,한식
궁중떡볶이,31,한식
모듬전,31,한식
기름 떡볶이,31,한식
오돌뼈,31,한식
전어구이,31,한식
대구 내장탕,31,한식
추어탕,31,한식
굴,31,한식
제주 고기국수,27,한식
소세지야채볶음,27,한식
꼬막무침,27,한식
버터오징어구이,27,한식
초계국수,27,한식
고등어조림,27,한식
두부전골,27,한식
연포탕,27,한식
과메기,27,한식
알밥,26,한식
전복장,23,한식
오리주물럭,22,한식
비빔국수,22,한식
전복죽,22,한식
홍어삼합,22,한식
훈제오리,18,한식
오리로스,18,한식
참치 마요네즈 덮밥,18,한식
장조림,18,한식
치즈 계란말이,18,한식
골뱅이 무침,18,한식
닭똥집,18,한식
도가니탕,18,한식
바지락술찜,18,한식
안동국시,18,한식
냉이국,18,한식
오이냉국,18,한식
쫄면,14,한식
충무김밥,14,한식
잡채밥,14,한식
버섯전골,14,한식
고구마 맛탕,14,한식
선지 해장국,14,한식
어죽,14,한식
편육,13,한식
콩나물밥,13,한식
코다리찜,13,한식
수제 소세지,9,한식
두부김치,9,한식
너비아니,9,한식
묵사발,9,한식
해파리냉채,9,한식
버섯들깨탕,9,한식
빈대떡,5,한식
매생이국,5,한식
울면,4,한식
고추잡채,0,한식
단팥죽,0,한식
오징어 무국,0,한식
약밥,0,한식
상추튀김,0,한식
보신탕,0,한식
번데기,0,한식
